Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Hour,Minute,Time_period,Is_peak_hour,Is_night,Is_weekend
Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,14,30,14,30,Afternoon,0,0,0
Wednesday,18-30,Male,Unknown,Employee,5-10yr,Automobile,Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Moving Backward,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,21,45,21,45,Night,0,1,0
Wednesday,31-50,Male,Elementary school,Owner,1-2yr,Lorry (41?100Q),Owner,2-5yrs,Unknown, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,21,45,21,45,Night,0,1,0
Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,21,45,21,45,Night,0,1,0
Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,Unknown,Unknown,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,8,30,8,30,Morning,1,0,0
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,1-2yr,Unknown,School areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Moving Backward,13,9,13,9,Afternoon,0,0,0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Turnover,13,9,13,9,Afternoon,0,0,0
Monday,18-30,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Below 1yr,Unknown,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Student,Normal,Not a Pedestrian,No distancing,18,7,18,7,Evening,1,0,0
Sunday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No distancing,8,25,8,25,Morning,1,0,1
Saturday,31-50,Male,Junior high school,Employee,Unknown,Lorry (11?40Q),Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,11,15,11,15,Afternoon,0,0,1
Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,Normal,Not a Pedestrian,Changing lane to the left,11,15,11,15,Afternoon,0,0,1
Friday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Normal,Not a Pedestrian,No priority to vehicle,17,50,17,50,Evening,1,0,0
Friday,Unknown,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Driving at high speed,13,37,13,37,Afternoon,0,0,0
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Unknown,Unknown, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Overtaking,15,5,15,5,Afternoon,0,0,0
Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Employee,Unknown,Not a Pedestrian,Other,15,5,15,5,Afternoon,0,0,0
Wednesday,31-50,Male,Unknown,Owner,5-10yr,Lorry (11?40Q),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Unknown,Unknown or other,Changing lane to the left,9,57,9,57,Morning,1,0,0
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Unknown,Not a Pedestrian,No priority to pedestrian,9,57,9,57,Morning,1,0,0
Wednesday,Over 51,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Unknown,Not a Pedestrian,Changing lane to the left,16,30,16,30,Evening,1,0,0
Wednesday,18-30,Male,Illiterate,Employee,2-5yr,Unknown,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Self-employed,Normal,Unknown or other,No distancing,16,30,16,30,Evening,1,0,0
Wednesday,Unknown,Female,Junior high school,Employee,5-10yr,Taxi,Owner,5-10yrs,7,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,16,30,16,30,Evening,1,0,0
Monday,31-50,Male,Junior high school,Employee,Below 1yr,Unknown,Owner,Unknown,7,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Other,Normal,Not a Pedestrian,Changing lane to the left,0,15,0,15,Night,0,1,0
Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,Unknown,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Other,0,15,0,15,Night,0,1,0
Monday,18-30,Male,Elementary school,Employee,2-5yr,Unknown,Governmental,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Driver,Normal,Not a Pedestrian,No distancing,0,15,0,15,Night,0,1,0
Sunday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Self-employed,Normal,Not a Pedestrian,Moving Backward,1,46,1,46,Night,0,1,1
Friday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Y Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,18,45,18,45,Evening,1,0,0
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,18,45,18,45,Evening,1,0,0
Monday,31-50,Male,Unknown,Unknown,Unknown,Lorry (41?100Q),Unknown,Unknown,Unknown,Office areas,Unknown,Tangent road with mild grade and flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Other,Unknown,Other,Not a Pedestrian,Changing lane to the left,21,35,21,35,Night,0,1,0
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver,Blind,Not a Pedestrian,No priority to pedestrian,21,35,21,35,Night,0,1,0
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,21,51,21,51,Night,0,1,0
Wednesday,31-50,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,21,51,21,51,Night,0,1,0
Friday,18-30,Male,Junior high school,Employee,Unknown,Taxi,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,Driving carelessly,10,0,10,0,Afternoon,0,0,0
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Unknown,Owner,Below 1yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,10,0,10,0,Afternoon,0,0,0
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Organization,1-2yr,Unknown, Church areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,15,50,15,50,Afternoon,0,0,0
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,15,50,15,50,Afternoon,0,0,0
Monday,Over 51,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,1-2yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,19,0,19,0,Evening,1,0,0
Monday,31-50,Male,High school,Owner,5-10yr,Unknown,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Other,Driver,Normal,Not a Pedestrian,No priority to vehicle,19,0,19,0,Evening,1,0,0
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Unknown,Unknown,Normal,Crossing from driver's nearside,No distancing,17,30,17,30,Evening,1,0,0
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No priority to pedestrian,17,30,17,30,Evening,1,0,0
Tuesday,Unknown,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Unknown,Unknown,Not a Pedestrian,No priority to pedestrian,17,30,17,30,Evening,1,0,0
Tuesday,31-50,Male,High school,Owner,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,14,3,14,3,Afternoon,0,0,0
Wednesday,31-50,Male,Elementary school,Employee,1-2yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,Driving carelessly,19,15,19,15,Evening,1,0,0
Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Ridden horse,Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,19,15,19,15,Evening,1,0,0
Friday,18-30,Male,Unknown,Unknown,Unknown,Stationwagen,Unknown,Unknown,Unknown,Unknown,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,16,10,16,10,Evening,1,0,0
Friday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Self-employed,Normal,Not a Pedestrian,Moving Backward,16,10,16,10,Evening,1,0,0
Friday,31-50,Male,Above high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Driving carelessly,20,10,20,10,Night,0,1,0
Friday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving to the left,20,10,20,10,Night,0,1,0
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,5-10yrs,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving to the left,20,10,20,10,Night,0,1,0
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,19,40,19,40,Evening,1,0,1
Sunday,Under 18,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,1,0,1,0,Night,0,1,1
Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Unknown or other,Changing lane to the right,1,0,1,0,Night,0,1,1
Saturday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Governmental,2-5yrs,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Unknown or other,Driving carelessly,21,39,21,39,Night,0,1,1
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Unknown,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No distancing,21,39,21,39,Night,0,1,1
Sunday,31-50,Male,Above high school,Employee,5-10yr,Automobile,Owner,5-10yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Collision with roadside objects,Other,Unknown,Normal,Not a Pedestrian,Getting off the vehicle improperly,11,45,11,45,Afternoon,0,0,1
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Driving under the influence of drugs,11,45,11,45,Afternoon,0,0,1
Wednesday,18-30,Male,Elementary school,Owner,Below 1yr,Unknown,Owner,2-5yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Overtaking,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,8,40,8,40,Morning,1,0,0
Wednesday,Unknown,Male,Unknown,Unknown,Unknown,Public (> 45 seats),Unknown,Unknown,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Driving carelessly,8,40,8,40,Morning,1,0,0
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Unknown,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,Going straight,Self-employed,Normal,Not a Pedestrian,Moving Backward,13,57,13,57,Afternoon,0,0,0
Monday,18-30,Male,Junior high school,Unknown,Unknown,Public (12 seats),Governmental,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Turnover,13,57,13,57,Afternoon,0,0,0
Monday,18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,U-Turn,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,16,9,16,9,Evening,1,0,0
Wednesday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,2-5yrs,Unknown,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Driving carelessly,10,35,10,35,Afternoon,0,0,0
Wednesday,31-50,Male,Unknown,Employee,Unknown,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,10,35,10,35,Afternoon,0,0,0
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,17,5,17,5,Evening,1,0,0
Tuesday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect, Hospital areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,17,5,17,5,Evening,1,0,0
Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Rollover,Turnover,Driver,Normal,Not a Pedestrian,Overturning,11,0,11,0,Afternoon,0,0,0
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,11,0,11,0,Afternoon,0,0,0
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Unknown,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with mild grade and flat terrain,Y Shape,Unknown,Dry,Daylight,Normal,Rollover,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,18,10,18,10,Evening,1,0,0
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No distancing,18,10,18,10,Evening,1,0,0
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,15,25,15,25,Afternoon,0,0,0
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,15,25,15,25,Afternoon,0,0,0
Thursday,Over 51,Male,Above high school,Owner,5-10yr,Automobile,Owner,Below 1yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,Going straight,Unknown,Unknown,Not a Pedestrian,No distancing,19,0,19,0,Evening,1,0,0
Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,No distancing,19,0,19,0,Evening,1,0,0
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Daylight,Raining,Collision with roadside objects,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,8,21,8,21,Morning,1,0,0
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,8,21,8,21,Morning,1,0,0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Driver,Normal,Not a Pedestrian,Changing lane to the left,8,30,8,30,Morning,1,0,0
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Crossing from driver's nearside,No distancing,8,30,8,30,Morning,1,0,0
Sunday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (11?40Q),Owner,1-2yr,5,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,No distancing,18,21,18,21,Evening,1,0,1
Sunday,Over 51,Male,High school,Owner,2-5yr,Public (13?45 seats),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,18,21,18,21,Evening,1,0,1
Saturday,31-50,Male,Unknown,Employee,Unknown,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,18,40,18,40,Evening,1,0,1
Saturday,18-30,Male,Junior high school,Owner,1-2yr,Unknown,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,18,40,18,40,Evening,1,0,1
Sunday,Unknown,Male,Junior high school,Unknown,Below 1yr,Long lorry,Owner,1-2yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,4,2,4,2,Night,0,1,1
Sunday,Unknown,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,No defect, Industrial areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Stopping,Driver,Normal,Not a Pedestrian,Changing lane to the right,4,2,4,2,Night,0,1,1
Sunday,Unknown,Male,Above high school,Employee,1-2yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Employee,Normal,Not a Pedestrian,No distancing,4,2,4,2,Night,0,1,1
